clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
DRS CHAN & TANG FAMILY CLINIC,GP,4.5+,BLK 125 LORONG 1 TOA PAYOH #01-549 SINGAPORE 310125,62511782,,Drs Chan and Tang Family Clinic,4.6,60,https://maps.google.com/?cid=2804319525291364010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3383782,103.84535059999999,matched,low,0.94,310125,310125,"125 Lor 1 Toa Payoh, #01-549, Singapore 310125",postal code matches; clinic name closely matches; address closely matches
FRONTIER MEDICAL ASSOCIATE (AMK) PTE LTD,GP,4.5+,BLK 163 ANG MO KIO AVENUE 4 #01-426 SINGAPORE 560163,64532571,,Frontier Medical Associates (Ang Mo Kio),4.5,159,https://maps.google.com/?cid=7984189657633177885&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3739465,103.8379045,matched,low,0.853,560163,560163,"163 Ang Mo Kio Ave 4, #01-426, Singapore 560163",postal code matches; clinic name partially matches; address closely matches
FRONTIER MEDICAL ASSOCIATE (BC) PTE LTD,GP,4.5+,BLK 982 BUANGKOK CRESCENT #01-03 SINGAPORE 530982,63152913,,Frontier Medical Associates (Buangkok),4.8,1640,https://maps.google.com/?cid=4015510445964237453&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3808539,103.8793383,matched,low,0.835,530982,530982,"982 Buangkok Cres, #01-03, Singapore 530982",postal code matches; clinic name partially matches; address closely matches
FRONTIER MEDICAL ASSOCIATES (JW) PTE LTD,GP,4.5+,BLK 678D JURONG WEST STREET 64 #01-347 SINGAPORE 644678,68622340,,Frontier Medical Associates (Jurong West),4.9,517,https://maps.google.com/?cid=16396578460395831552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3450376,103.7032929,matched,low,0.861,644678,644678,"678D Jurong West St 64, #01-347, Singapore 644678",postal code matches; clinic name partially matches; address closely matches
FRONTIER PEOPLE'S CLINIC PTE LTD,GP,4.5+,BLK 123 BEDOK NORTH STREET 2 #01-152 SINGAPORE 460123,64430261,,Frontier People's Clinic (Bedok),4.7,230,https://maps.google.com/?cid=13728933114762301355&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3292647,103.93728490000001,matched,low,0.911,460123,460123,"123 Bedok North Street 2, #01-152, Singapore 460123",postal code matches; clinic name closely matches; address closely matches
HMI ONECARE PTE. LTD. (HMI ONECARE CLINIC JURONG POINT),GP,4.5+,NO 1 JURONG WEST CENTRAL 2 #B1A-20B JURONG POINT SHOPPING CENTRE SINGAPORE 648886,67940070/ 69709302,,HMI OneCare Clinic Jurong Point,4.5,720,https://maps.google.com/?cid=3843662935939866077&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3399257,103.7062886,matched,low,0.791,648886,648886,"1 Jurong West Central 2, B1A-20B, Singapore 648886",postal code matches; clinic name partially matches; address closely matches
LIEW CLINIC,GP,4.5+,5000G MARINE PARADE ROAD #01-31 LAGUNA PARK SINGAPORE 449290,64431794,,Liew Clinic,4.6,58,https://maps.google.com/?cid=8577530677417480488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3099988999999999,103.9319865,matched,low,1.0,449290,449290,"5000G Marine Parade Rd, #01-31 Laguna Park, Singapore 449290",postal code matches; clinic name closely matches; address closely matches
FRONTIER MEDICAL ASSOCIATES (ADMIRALTY),GP,4.5+,BLK 691 WOODLANDS DRIVE 73 #01-04 MULTI STOREY CARPARK SINGAPORE 730691,63141098,,Frontier Medical Associates (Admiralty),4.5,281,https://maps.google.com/?cid=7613631827040885840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4407349,103.80627090000002,matched,low,1.0,730691,730691,"Blk 691 Woodlands Drive 73, #01-04, Singapore 730691",postal code matches; clinic name closely matches; address closely matches
FRONTIER MEDICAL ASSOCIATES (CANBERRA),GP,4.5+,BLK 105 CANBERRA STREET #01-11 SINGAPORE 750105,62665080,,Frontier Medical Associates (Canberra),4.7,204,https://maps.google.com/?cid=5911667006307109377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4490828999999998,103.8320396,matched,low,1.0,750105,750105,"Blk 105 Canberra St, #01-11, Singapore 750105",postal code matches; clinic name closely matches; address closely matches
FRONTIER FAMILY MEDICINE CLINIC,GP,4.5+,3151 COMMONWEALTH AVENUE WEST #04-01 GRANTRAL MALL @ CLEMENTI SINGAPORE 129581,67450875 (office) 67788362 / 92994162 (whatsapp & sms only),,Frontier Family Medicine Clinic (Clementi),4.7,557,https://maps.google.com/?cid=5491900447477684527&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3142179,103.765169,matched,low,0.962,129581,129581,"3151 Commonwealth Ave W, #04-01 Grantral Mall @ Clementi, Singapore 129581",postal code matches; clinic name closely matches; address closely matches
P TAN FAMILY MEDICINE CLINIC,GP,4.5+,BLK 503 BISHAN STREET 11 #01-464 SINGAPORE 570503,62557545,,P Tan Family Medicine Clinic,4.5,421,https://maps.google.com/?cid=3865532482551306953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3485807,103.8479726,matched,low,1.0,570503,570503,"503 Bishan St.11, #01-464, Singapore 570503",postal code matches; clinic name closely matches; address closely matches
TEMASEK MEDICAL CLINIC,GP,4.5+,BLK 86 BEDOK NORTH STREET 4 #01-177 SINGAPORE 460086,64430949,,Temasek Medical Clinic,4.5,22,https://maps.google.com/?cid=15707365548773784388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3326168999999999,103.93879349999999,matched,low,1.0,460086,460086,"86 Bedok North Street 4, #01-177, Singapore 460086",postal code matches; clinic name closely matches; address closely matches
PLATINUM MEDICAL CENTRE @ DORM PTE LTD,GP,4.5+,28 TOH GUAN EAST #01-01 WESTLITE DORMITORY SINGAPORE 608596,65656338,,Platinum Medical Centre @Dorm Pte.Ltd.,5,1,https://maps.google.com/?cid=14652270829605951546&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3364384999999999,103.7514965,matched,low,0.995,608596,608596,"28 Toh Guan Road East (Westlite Dormitory #01-01 (Mezzanine Floor, Singapore 608596",postal code matches; clinic name closely matches; address closely matches
TRUECARE CLINIC (EASTPOINT MALL),GP,4.5+,BLK 3 SIMEI STREET 6 #01-10/11 EASTPOINT MALL SINGAPORE 528833,83000101,,TrueCare Clinic @ Eastpoint Mall,4.5,457,https://maps.google.com/?cid=12846058059575874950&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3427285,103.95301119999999,matched,low,1.0,528833,528833,"3 Simei Street 6, #01-10/11 Eastpoint Mall, Singapore 528833",postal code matches; clinic name closely matches; address closely matches
