clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
CHAI CHEE CLINIC & SURGERY,GP,4.0-4.4,BLK 25A CHAI CHEE ROAD #01-453 SINGAPORE 461025,62441231,,Chai Chee Clinic & Surgery,4,30,https://maps.google.com/?cid=1843436264461569133&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3233230999999999,103.92429229999999,matched,low,1.0,461025,461025,"25A Chai Chee Rd, #01-453, Singapore 461025",postal code matches; clinic name closely matches; address closely matches
DAYSPRING MEDICAL CLINIC (TAMPINES),GP,4.0-4.4,2 TAMPINES CENTRAL 5 #04-09 CENTURY SQUARE SINGAPORE 529509,67890123,,Dayspring Medical Clinic (Tampines),4,272,https://maps.google.com/?cid=8692085854767565900&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3525478,103.94365409999999,matched,low,1.0,529509,529509,"2 Tampines Central 5, #04-09 Century Square, Singapore 529509",postal code matches; clinic name closely matches; address closely matches
MINMED CLINIC (HAIG ROAD),GP,4.0-4.4,30 HAIG ROAD SINGAPORE 438737,67410123,,Minmed Clinic (Haig Road),4,262,https://maps.google.com/?cid=2179127992045984093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3132167,103.8957538,matched,low,1.0,438737,438737,"30 Haig Rd, Singapore 438737",postal code matches; clinic name closely matches; address closely matches
DOCTORS INC MEDICAL GROUP PTE LTD,GP,4.0-4.4,BLK 178 TOA PAYOH CENTRAL #01-206 SINGAPORE 310178,63563633,,Doctors Inc Medical Group,4.2,95,https://maps.google.com/?cid=10487265589403722310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3335618,103.8497213,matched,low,0.876,310178,310178,"178 Toa Payoh Central, #01-206, Mall 310178",postal code matches; clinic name closely matches; address closely matches
"FULLERTON HEALTHCARE @ DRS TRYTHALL HOY DAVIES, JURONG POINT",GP,4.0-4.4,1 JURONG WEST CENTRAL 2 #B1A-19B JURONG POINT SHOPPING CENTRE SINGAPORE 648886,63333636,,Fullerton Health,4.1,926,https://maps.google.com/?cid=16198478249701108751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3399257,103.7062886,address_only,medium,0.6,648886,648886,"1 Jurong West Central 2, B1A-19A/B C, Singapore 648886",postal code matches; clinic name differs; address closely matches
ELIAS FAMILY CLINIC & SURGERY,GP,4.0-4.4,BLK 625 ELIAS ROAD #01-320 ELIAS MALL SINGAPORE 510625,65847760,,Elias Family Clinic & Surgery,4.1,32,https://maps.google.com/?cid=7298705097325809196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3788931,103.9421485,matched,low,0.983,510625,510625,"625 Elias Rd, Singapore 510625",postal code matches; clinic name closely matches; address partially matches
FRONTIER MEDICAL ASSOCIATE (WOODLANDS) PTE LTD,GP,4.0-4.4,BLK 899C WOODLANDS DRIVE 50 #01-296 SINGAPORE 732899,63663631,,Frontier Medical Associates (Woodlands),4.3,168,https://maps.google.com/?cid=2664495692408463890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4366008,103.7952567,matched,low,0.922,732899,732899,"899C Woodlands Drive 50, #01-296, Singapore 732899",postal code matches; clinic name closely matches; address closely matches
GOH CLINIC & SURGERY,GP,4.0-4.4,BLK 204 HOUGANG STREET 21 #01-101 SINGAPORE 530204,63863836,,Goh Clinic and Surgery,4,118,https://maps.google.com/?cid=15857296789984467977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3586174,103.8847557,matched,low,0.895,530204,530204,"204 Hougang St 21, #01 -101 Kovan City, Singapore 530204",postal code matches; clinic name closely matches; address closely matches
HWANG & LIANG FAMILY CLINIC & SURGERY,GP,4.0-4.4,BLK 476 TAMPINES ST 44 #01-173 SINGAPORE 520476,67888888,,Hwang & Liang Family Clinic & Surgery,4,149,https://maps.google.com/?cid=13162947628704692556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3607394,103.9537703,matched,low,1.0,520476,520476,"476 Tampines Street 44, #01-173, Singapore 520476",postal code matches; clinic name closely matches; address closely matches
MEI LING CLINIC (MEI LING ST) LLP,GP,4.0-4.4,BLK 158 MEI LING ST #01-80 SINGAPORE 140158,64741782,,Mei Ling Clinic (Queenstown),4,238,https://maps.google.com/?cid=2568577447752876343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2927077,103.802897,matched,low,0.804,140158,140158,"158 Mei Ling St, #01-80, Singapore 140158",postal code matches; clinic name partially matches; address closely matches
