clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
ACCORD MEDICAL CLINIC (UBI),GP,<4.0 / no rating,BLK 325 UBI AVENUE 1 #01-701 SINGAPORE 400325,68441528,,Accord Medical Clinic,2.5,125,https://maps.google.com/?cid=12876984000827454002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3276592999999999,103.90394669999999,matched,low,0.903,400325,400325,"325 Ubi Ave 1, Singapore 400325",postal code matches; clinic name closely matches; address closely matches
ALLIANCE CLINIC & PARTNERS PTE LTD,GP,<4.0 / no rating,BLK 652 JALAN TENAGA #01-50 SINGAPORE 410652,68469585,,Alliance Clinic & Partners Pte Ltd,2.9,41,https://maps.google.com/?cid=9049707903381959755&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3326495,103.907596,matched,low,1.0,410652,410652,"652 Jln Tenaga, #01-50, Singapore 410652",postal code matches; clinic name closely matches; address closely matches
BEDOK CLINIC & SURGERY,GP,<4.0 / no rating,BLK 17 BEDOK SOUTH ROAD #01-565 SINGAPORE 460017,62410943,,Bedok Clinic & Sugery,1.7,59,https://maps.google.com/?cid=6585504771149633679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3202076999999999,103.93524459999999,matched,low,0.933,460017,460017,"17 Bedok S Rd, Singapore 460017",postal code matches; clinic name closely matches; address closely matches
BEDOK MEDICAL CENTRE,GP,<4.0 / no rating,BLK 18 BEDOK SOUTH ROAD #01-57 SINGAPORE 460018,62414111,,Bedok Medical Centre,3.1,28,https://maps.google.com/?cid=9050247674166175346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3203818999999999,103.9347621,matched,low,0.982,460018,460018,"18 Bedok S Rd, #01-57 Bedok Bougainvillea, Singapore 460018",postal code matches; clinic name closely matches; address partially matches
BOON LAY CLINIC & SURGERY,GP,<4.0 / no rating,BLK 221 BOON LAY PLACE #01-240/244 SINGAPORE 640221,62655247,,DR+ Medical & Paincare Boon Lay (Formerly Boon Lay Clinic and Surgery),3.2,96,https://maps.google.com/?cid=10009065898559190688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3465660000000002,103.7120156,address_only,medium,0.676,640221,640221,"221 Boon Lay Pl, #01-240, Singapore 640221",postal code matches; clinic name differs; address closely matches
C & K FAMILY CLINIC PTE LTD,GP,<4.0 / no rating,108 UPPER EAST COAST ROAD SINGAPORE 455297,62429588,,C&K Family Clinic Pte Ltd,2.8,107,https://maps.google.com/?cid=8785400368811244851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3131442,103.9293084,matched,low,1.0,455297,455297,"108 Upper E Coast Rd, Singapore 455297",postal code matches; clinic name closely matches; address closely matches
CHUA & PARTNERS FAMILY CLINIC,GP,<4.0 / no rating,BLK 18 JALAN MEMBINA #02-05 SINGAPORE 164018,62719004,,Chua & Partners,3.1,187,https://maps.google.com/?cid=56833400549863624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2857258,103.8267778,name_match_address_partial,medium,0.766,164018,164018,"18 Jln Membina, #02-05, Singapore 164018",postal code matches; clinic name partially matches; address closely matches
COMMUNITY MEDICAL CLINIC,GP,<4.0 / no rating,BLK 221 BOON LAY PLACE #02-160 BOON LAY SHOPPING CENTRE SINGAPORE 640221,62610672,,Community medical clinic,3.3,26,https://maps.google.com/?cid=6032656921886832276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3468731999999999,103.7128869,matched,low,1.0,640221,640221,"Block 221 Boon Lay Pl, shopping centre, Singapore 640221",postal code matches; clinic name closely matches; address closely matches
DRS LIM AND CHAN CLINIC (LORONG LEW LIAN),GP,<4.0 / no rating,BLK 2 LORONG LEW LIAN #01-50 SINGAPORE 531002,62803009,,Drs Lim & Chan Clinic,3.1,50,https://maps.google.com/?cid=16021791227439656751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3507335,103.875884,name_match_address_partial,medium,0.766,531002,531002,"2 Lor Lew Lian, #01-50, Singapore 531002",postal code matches; clinic name partially matches; address closely matches
DRS SINGH & PARTNERS,GP,<4.0 / no rating,252 NORTH BRIDGE ROAD #02-16 RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,63388883,,Drs Singh & Partners,3.2,46,https://maps.google.com/?cid=10916595901253518281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2943354,103.85289929999999,matched,low,0.977,179103,179103,"252 N Bridge Rd, #02 - 16, Singapore 179103",postal code matches; clinic name closely matches; address partially matches
FAMILY CARE CLINIC & SURGERY (AMK),GP,<4.0 / no rating,608 ANG MO KIO AVE 5 #01-2785 SINGAPORE 560608,64588737,,Family Medicare Clinic & Surgery,3.7,36,https://maps.google.com/?cid=14159196668381623297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3723630999999998,103.84796380000002,needs_review,high,0.576,560608,560721,"721 Ang Mo Kio Ave 8, #01-2815, Singapore 560721",postal code differs; clinic name closely matches; address closely matches
BETHESDA MEDICAL CENTRE PTE LTD,GP,<4.0 / no rating,3 TEMASEK BOULEVARD #03-330 (NEAR TOWER 5 LOBBY) SUNTEC CITY MALL SINGAPORE 038983,63378933,,Bethesda Medical @ Suntec,3.9,278,https://maps.google.com/?cid=15442432351687484754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2961152999999999,103.85894169999999,name_match_address_partial,medium,0.759,038983,038983,"3 Temasek Blvd, #03 - 330, Singapore 038983",postal code matches; clinic name partially matches; address partially matches
GOH MEDICAL CLINIC,GP,<4.0 / no rating,BLK 136 POTONG PASIR AVE 3 #01-164 SINGAPORE 350136,62827886,,Goh Medical Clinic,3.5,24,https://maps.google.com/?cid=9854671326526985836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3342117,103.8666496,matched,low,1.0,350136,350136,"136 Potong Pasir Ave 3, #01-164, Singapore 350136",postal code matches; clinic name closely matches; address closely matches
GP HEALTHCARE GROUP,GP,<4.0 / no rating,5 KOEK ROAD #01-23 CUPPAGE PLAZA SINGAPORE 228796,67336060,,GP Healthcare,1.8,4,https://maps.google.com/?cid=16906517091738082813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3018262,103.84085999999999,matched,low,0.884,228796,228796,"5 Koek Road, #01-23, Cuppage Plaza., Singapore 228796",postal code matches; clinic name partially matches; address closely matches
HEALTH PARTNERS FAMILY CLINIC (BUKIT BATOK),GP,<4.0 / no rating,1 BUKIT BATOK CENTRAL LINK #01-37 WEST MALL SINGAPORE 658713,68989031,,Health Partners Family Clinic,3,88,https://maps.google.com/?cid=17940051033690674758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3503642,103.7492783,matched,low,0.894,658713,658713,"1 Bukit Batok Central Link, #01-37 West Mall, Singapore 658713",postal code matches; clinic name closely matches; address closely matches
HONG ASSOCIATES CLINIC (JALAN BUKIT MERAH),GP,<4.0 / no rating,BLK 111 JALAN BUKIT MERAH #01-1682 SINGAPORE 160111,62702233,,Hong Associates Clinic,2.2,13,https://maps.google.com/?cid=10460113353686901194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2799593999999999,103.8264318,matched,low,0.789,160111,160111,"111 Jalan Bukit Merah, Singapore 160111",postal code matches; clinic name partially matches; address closely matches
