clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
ANGEL EYE & CATARACT CENTRE,Specialist,4.5+,101 IRRAWADDY ROAD #21-07 ROYAL SQUARE MEDICAL CENTRE SINGAPORE 329565,65143338,OPHTHALMOLOGY,Angel Eye & Cataract Centre,4.9,62,https://maps.google.com/?cid=4077644949888131711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3206053000000002,103.84323719999999,matched,low,1.0,329565,329565,"101 Irrawaddy Rd, #21-07 Royal Square Medical Centre, Singapore 329565",postal code matches; clinic name closely matches; address closely matches
APICARE PAIN SPECIALIST PTE LTD,Specialist,4.5+,1 FARRER PARK STATION ROAD #15-05 FARRER PARK MEDICAL CENTRE SINGAPORE 217562,65133383,PAIN SPECIALIST,Apicare Pain Clinic - Dr Wilson Tay | Pain Management & Ultrasound-Guided Joint Injection,4.6,11,https://maps.google.com/?cid=5474631249468430124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3127619,103.85455619999999,address_only,medium,0.518,217562,217562,"1 Farrer Park Station Rd, #15-04, Singapore 217562",postal code matches; clinic name differs; address partially matches
ASTRA WOMEN'S SPECIALISTS (MOUNT E NOVENA),Specialist,4.5+,38 IRRAWADDY ROAD #05-21/22 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,62585530,OBSTETRICS & GYNAECOLOGY,"Astra Women's Specialists (Mount Elizabeth Novena Specialist Centre - Dr Henry Cheng) - Gynae (Gynaecologist), Obstetrician",5,19,https://maps.google.com/?cid=15098648890724512551&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3220618,103.8441086,address_only,medium,0.63,329563,329563,"MT ELIZABETH, #05-21/22 SPECIALIST CENTRE, Singapore 329563",postal code matches; clinic name differs; address partially matches
ASTRA WOMEN'S SPECIALIST CENTRE (BISHAN),Specialist,4.5+,502 BISHAN STREET 11 #01-356 SINGAPORE 570502,62585530,OBSTETRICS & GYNAECOLOGY,"Astra Women's Specialists (Bishan - Dr Henry Cheng) - Gynae, Gynaecologist, High Risk Pregnancy Specialist",4.6,61,https://maps.google.com/?cid=12430014556451684460&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3485137,103.84845879999999,address_only,medium,0.652,570502,570502,"502 Bishan St.11, #01-356, Singapore 570502",postal code matches; clinic name differs; address closely matches
ASIA EYE CENTRE CATARACT & RETINA SPECIALIST,Specialist,4.5+,101 IRRAWADDY ROAD #20-07 ROYAL SQUARE MEDICAL CENTRE SINGAPORE 329565,62565188,OPHTHALMOLOGY,Eye Specialist Singapore - Asia Eye Centre Cataract & Retina Specialist 亚洲眼科中心 陈婉慧医生,4.8,91,https://maps.google.com/?cid=686859159593620445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3207552,103.8433872,matched,low,0.908,329565,329565,"101 Irrawaddy Road #20-07 Royal Square Medical Centre, Singapore 329565",postal code matches; clinic name partially matches; address closely matches
ADVANCED BRAIN AND SPINE SURGICAL CENTRE,Specialist,4.5+,6 NAPIER ROAD #04-03 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,62524514,NEUROLOGY,Advanced Brain & Spine Surgical Centre (Gleneagles) | Dr Sein Lwin | Singapore Neurosurgeon,4.9,26,https://maps.google.com/?cid=17884951227403587994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3073782,103.8198608,address_only,medium,0.728,258499,258499,"6 Napier Rd, #05-16 Gleneagles Medical Centre, Singapore 258499",postal code matches; clinic name differs; address closely matches
AXIS ORTHOPAEDIC CENTRE,Specialist,4.5+,38 IRRAWADDY ROAD #06-33 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,66975320,ORTHOPAEDIC,Axis Orthopaedic Centre - Dr Seng Chusheng (Mt Elizabeth Novena),4.9,196,https://maps.google.com/?cid=972038790784345606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3219858,103.84440479999999,address_only,medium,0.763,329563,329563,"38 Irrawaddy Road #06-33 Mount Elizabeth, Specialist Centre, Singapore 329563",postal code matches; clinic name differs; address closely matches
ASIAN HEART & VASCULAR CENTRE (MOUNT ELIZABETH),Specialist,4.5+,3 MOUNT ELIZABETH #17-08 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,67338638 / 62733638,CARDIOLOGY,The Heart and Vascular Centre (Mount Elizabeth),5,68,https://maps.google.com/?cid=5249808648372466021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3045756,103.8350036,matched,low,0.879,228510,228510,"3 Mount Elizabeth, #08-06 Medical Centre, Singapore 228510",postal code matches; clinic name closely matches; address closely matches
ASIAN HEART & VASCULAR CENTRE (MOUNT ELIZABETH) (L10),Specialist,4.5+,3 MOUNT ELIZABETH #10-14 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,69110066 / 62733638,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Mount Elizabeth Medical Centre Level 17,4.7,10,https://maps.google.com/?cid=10035010691445501078&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3055915,103.8354837,matched,low,0.819,228510,228510,"3 Mount Elizabeth, #17-08 Medical Centre, Singapore 228510",postal code matches; clinic name partially matches; address closely matches
ASIAN HEART & VASCULAR CENTRE (NOVENA),Specialist,4.5+,38 IRRAWADDY ROAD #08-58/59/60/61 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,63393638 / 62733638,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Mount Elizabeth Novena Specialist Centre Level 8,4.6,11,https://maps.google.com/?cid=8467076617513858182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,address_only,medium,0.659,329563,329563,"Mount Elizabeth, 38 Irrawaddy Rd, #08-60 to 61 Specialist Centre, Singapore 329563",postal code matches; clinic name differs; address partially matches
