clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
CH POH DIGESTIVE & LIVER CLINIC PTE LTD,Specialist,4.0-4.4,38 IRRAWADDY ROAD #09-46 MOUNT ELIZABETH NOVENA SINGAPORE 329563,66946988,GASTROENTEROLOGY,Ch Poh Digestive & Liver Clinic Pte. Ltd.,4,8,https://maps.google.com/?cid=8667816357019282898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.993,329563,329563,"38 Irrawaddy Rd, #09-46, Singapore 329563",postal code matches; clinic name closely matches; address closely matches
ISLAND ORTHOPAEDIC CONSULTANTS PTE LTD (MT E NOVENA),Specialist,4.0-4.4,38 IRRAWADDY ROAD #05-42 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,63520529,ORTHOPAEDIC,Island Orthopaedics (Mount Elizabeth Novena),4.4,20,https://maps.google.com/?cid=1099217665912418416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322168,103.84419109999999,name_match_address_partial,medium,0.721,329563,329563,"Mount Elizabeth, 38 Irrawaddy Rd, #05-46/47 Specialist Centre, Singapore 329563",postal code matches; clinic name partially matches; address partially matches
ALEX OOI & ASSOCIATES OBGYN CONSULTANTS,Specialist,4.0-4.4,1 FARRER PARK STATION ROAD #12-05 FARRER PARK MEDICAL CENTRE SINGAPORE 217562,67349494 / 67388331,OBSTETRICS & GYNAECOLOGY,Alex Ooi & Associates Obgyn Consultants,4.2,5,https://maps.google.com/?cid=15394559284817407594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3129434,103.8539981,matched,low,1.0,217562,217562,"1 Farrer Park Station Rd, #12-05 Farrer Park Medical Centre, Singapore 217562",postal code matches; clinic name closely matches; address closely matches
ASIAN HEALTHCARE SPECIALISTS (NOVENA),Specialist,4.0-4.4,38 IRRAWADDY ROAD #08-41 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,63341486,ORTHOPAEDIC,Asian Healthcare Specialists (Novena),4.2,5,https://maps.google.com/?cid=6966777347400170402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.967,329563,329563,"38 Irrawaddy Rd, #08-41, Singapore 329563",postal code matches; clinic name closely matches; address partially matches
ADVANCED UROLOGY ASSOCIATE (ORCHARD),Specialist,4.0-4.4,3 MOUNT ELIZABETH #17-14 MOUNT ELIZABETH HOSPITAL SINGAPORE 228510,67350369,UROLOGY,Advanced Urology (Orchard),4.3,49,https://maps.google.com/?cid=6884450475972902969&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3046706,103.83507279999999,matched,low,0.829,228510,228510,"3 Mount Elizabeth, Suite 17-14, Singapore 228510",postal code matches; clinic name closely matches; address partially matches
ALFRED CHENG CARDIAC CARE,Specialist,4.0-4.4,3 MOUNT ELIZABETH #15-15 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,67357735,CARDIOLOGY,Alfred Cheng Cardiac Care Pte Ltd,4,4,https://maps.google.com/?cid=4925591580196105973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3054249999999998,103.835499,matched,low,0.883,228510,228510,"3 Mount Elizabeth, Singapore 228510",postal code matches; clinic name closely matches; address partially matches
ADVANCED UROLOGY ASSOCIATES (PARKWAY EAST),Specialist,4.0-4.4,319 JOO CHIAT PLACE #02-05 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,68810048,UROLOGY,Advanced Urology (East),4.2,13,https://maps.google.com/?cid=4289698761924868991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151903999999999,103.9090233,matched,low,0.794,427989,427989,"319 Joo Chiat Pl, #03/03a Parkway East Medical Centre, Singapore 427989",postal code matches; clinic name partially matches; address closely matches
ASTRA WOMEN'S SPECIALISTS (PUNGGOL),Specialist,4.0-4.4,BLK 681 PUNGGOL DRIVE #03-11 SINGAPORE 820681,62585530,OBSTETRICS & GYNAECOLOGY,"Astra Women's Specialists (Punggol - Dr James Lee) - Gynae (Gynaecologist), Obstetrician",4.1,67,https://maps.google.com/?cid=8862343330514340247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4031154,103.9132209,address_only,medium,0.738,820681,820681,"681 Punggol Dr., #03-12 Oasis Terraces, Singapore 820681",postal code matches; clinic name differs; address closely matches
ADVANCED UROLOGY ASSOCIATE (FARRER PARK),Specialist,4.0-4.4,1 FARRER PARK STATION ROAD #14-11 CONNEXION SINGAPORE 217562,66949722,UROLOGY,Advanced Urology (Farrer Park),4.2,5,https://maps.google.com/?cid=1062525028840489067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3127619,103.85455619999999,matched,low,0.88,217562,217562,"1 Farrer Park Station Rd, #14-11, Connexion 217562",postal code matches; clinic name closely matches; address closely matches
"ANDREA'S DIGESTIVE, COLON, LIVER & GALLBLADDER CLINIC PTE LTD",Specialist,4.0-4.4,101 IRRAWADDY ROAD #21-11/12 ROYAL SQUARE MEDICAL CENTRE SINGAPORE 329565,62642836,GASTROENTEROLOGY,Andrea’s Digestive Clinic: Colon | Liver | Gallbladder | GERD | Acid Reflux Specialist,4.2,37,https://maps.google.com/?cid=13530077754970006906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3206053000000002,103.84323719999999,matched,low,0.812,329565,329565,"101 Irrawaddy Rd, #21-11/12 Royal Square Medical Centre, Singapore 329565",postal code matches; clinic name partially matches; address closely matches
