clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
AMANDELA ENT HEAD & NECK CENTRE,Specialist,<4.0 / no rating,38 IRRAWADDY ROAD #10-45/46/47 SINGAPORE 329563,66941990,EAR NOSE THROAT,Amandela ENT Head And Neck Centre Singapore,3.7,13,https://maps.google.com/?cid=12510372553185291280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.797,329563,329563,"Mount Elizabeth Novena Specialist Centre, 38 Irrawaddy Rd, #10-45/47, Singapore 329563",postal code matches; clinic name partially matches; address partially matches
AMBULATORY SURGICARE,Specialist,<4.0 / no rating,10 SINARAN DRIVE #09-01 NOVENA MEDICAL CENTRE SINGAPORE 307506,6397 6979,GENERAL SURGERY,Ambulatory Surgicare,,,https://maps.google.com/?cid=6920166775812705858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3199572,103.8439076,name_match_address_partial,medium,0.729,307506,,Singapore,postal code not confirmed; clinic name closely matches; address differs
ATLAS SPINE AND ORTHOPAEDIC CENTRE PTE LTD,Specialist,<4.0 / no rating,3 MT ELIZABETH #06-09 MT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,62620555,ORTHOPAEDIC,Atlas Orthopaedic Group,3.8,24,https://maps.google.com/?cid=12811026726338716252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3045666,103.83546059999999,address_only,medium,0.731,228510,228510,"3 Mount Elizabeth, #06-09 Medical Centre, Singapore 228510",postal code matches; clinic name differs; address closely matches
ADVANCE SURGICAL GROUP,Specialist,<4.0 / no rating,290 ORCHARD ROAD #18-01 PARAGON SINGAPORE 238859,68362168,GENERAL SURGERY,Advance Surgical Group,,,https://maps.google.com/?cid=11521948630628427984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3039053999999999,103.8355763,matched,low,0.992,238859,238859,"290 Orchard Road #18-01, 1 Lobby, F Paragon, Medical, Tower, Orchard, Singapore 238859",postal code matches; clinic name closely matches; address partially matches
ASCENSION HEART CENTRE (FARRER PARK),Specialist,<4.0 / no rating,1 FARRER PARK STATION ROAD #10-16 CONNEXION SINGAPORE 217562,64681016,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Farrer Park Medical Centre,,,https://maps.google.com/?cid=17273742303396264772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3127619,103.85455619999999,address_only,medium,0.744,217562,217562,"1 Farrer Park Station Rd, #09-05 to 06 Connexion, Singapore 217562",postal code matches; clinic name differs; address closely matches
ASIAN HEART & VASCULAR CENTRE (FARRER PARK),Specialist,<4.0 / no rating,1 FARRER PARK STATION ROAD #09-05/06 CONNEXION SINGAPORE 217562,6549 0799,CARDIOLOGY,Asian Heart & Vascular Centre (AHVC) - Farrer Park Medical Centre,,,https://maps.google.com/?cid=17273742303396264772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3127619,103.85455619999999,matched,low,0.864,217562,217562,"1 Farrer Park Station Rd, #09-05 to 06 Connexion, Singapore 217562",postal code matches; clinic name partially matches; address closely matches
ASIAN ALLIANCE RADIATION & ONCOLOGY PTE LTD (MOUNT ELIZABETH),Specialist,<4.0 / no rating,3 MOUNT ELIZABETH #17-05 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,8101 3838,RADIATION ONCOLOGY,Asian Alliance Radiation & Oncology (Mount Elizabeth Hospital),,,https://maps.google.com/?cid=3368751210317648350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3055915,103.8354837,matched,low,0.879,228510,228510,"3 Mount Elizabeth, #17-05 Medical Centre, Singapore 228510",postal code matches; clinic name closely matches; address closely matches
AELIUS SURGICAL CENTRE (PARKWAY EAST),Specialist,<4.0 / no rating,319 JOO CHIAT PLACE #03-06 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,69566588,GENERAL SURGERY,Aelius Surgical Centre,,,https://maps.google.com/?cid=12845912073216678420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151918999999999,103.90903019999999,matched,low,0.854,427989,427989,"319 Joo Chiat Pl, #03-06 Parkway East Medical Centre, Singapore 427989",postal code matches; clinic name partially matches; address closely matches
ASIAN OBSTETRICS & GYNAECOLOGY CENTRE (PARKWAY EAST),Specialist,<4.0 / no rating,319 JOO CHAT PLACE #03-06 PARKWAY EAST MEDICAL CENTRE SINGAPORE 427989,69566588,OBSTETRICS & GYNAECOLOGY,Asian Obstetrics & Gynaecology Centre (AOGC) @ Parkway East,,,https://maps.google.com/?cid=14121556927657926470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3151918999999999,103.90903019999999,matched,low,0.963,427989,427989,"319 Joo Chiat Pl, #03-06 Parkway East Medical Centre, Singapore 427989",postal code matches; clinic name closely matches; address closely matches
APICARE PAIN CENTRE (MOUNT ELIZABETH),Specialist,<4.0 / no rating,3 MOUNT ELIZABETH #14-15 MOUNT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,68875337,ANAESTHESIOLOGY,Apicare Pain Clinic (Mount Elizabeth Orchard) - Dr Wilson Tay | Pain Doctor,,,https://maps.google.com/?cid=6642164811849321010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3048385,103.8360498,address_only,medium,0.72,228510,228510,"3 Mount Elizabeth, #14-15 Medical Centre, Singapore 228510",postal code matches; clinic name differs; address closely matches
