clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
EU YAN SANG TCM CLINIC @ COMPASS ONE,TCM,4.5+,1 SENGKANG SQUARE #02-34 COMPASS ONE SINGAPORE 545078,62836761,,Eu Yan Sang TCM Clinic @ Compass One,4.5,221,https://maps.google.com/?cid=8810038442200430562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3916269,103.89493780000001,matched,low,1.0,545078,545078,"1 Sengkang Square, #02 - 34 Compass One, Singapore 545078",postal code matches; clinic name closely matches; address closely matches
EU YAN SANG TCM CLINIC @ PLAZA SINGAPURA,TCM,4.5+,68 ORCHARD ROAD #04-37 PLAZA SINGAPURA SINGAPORE 238839,62381801,,Eu Yan Sang TCM Clinic @ Plaza Singapura,4.5,148,https://maps.google.com/?cid=7095448847270791885&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3002334,103.8455979,matched,low,1.0,238839,238839,"68 Orchard Rd, #04 37 Plaza, Singapore 238839",postal code matches; clinic name closely matches; address closely matches
EU YAN SANG TCM CLINIC @ SEMBAWANG,TCM,4.5+,355 SEMBAWANG WAY #01-03 SINGAPORE 750355,65564528,,Eu Yan Sang TCM Clinic @ Sembawang,4.6,54,https://maps.google.com/?cid=14111639065440692264&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4495794,103.8189544,matched,low,1.0,750355,750355,"355 Sembawang Wy, #01-03, Singapore 750355",postal code matches; clinic name closely matches; address closely matches
EU YAN SANG TCM CLINIC @ NEX,TCM,4.5+,23 SERANGOON CENTRAL #03-24 NEX SINGAPORE 556083,66348042,,Eu Yan Sang TCM Clinic @ Serangoon NEX,4.5,132,https://maps.google.com/?cid=3352331296148354876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3500851,103.8729084,matched,low,0.898,556083,556083,"23 Serangoon Central, #03-24S NEX, Singapore 556083",postal code matches; clinic name closely matches; address closely matches
HAN TCM MEDICAL (CLEMENTI),TCM,4.5+,431 CLEMENTI AVE 3 #01-306 SINGAPORE 120431,62520920,,HAN TCM Medical 汉医堂 金文泰,4.9,315,https://maps.google.com/?cid=1189509570228118344&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3135786000000003,103.7631601,matched,low,0.844,120431,120431,"431 Clementi Ave 3, unit 01-306, Singapore 120431",postal code matches; clinic name partially matches; address closely matches
SHANG TCM BOON LAY,TCM,4.5+,BLK 221 BOON LAY PLACE #02-120 BOON LAY SHOPPING CENTRE SINGAPORE 640221,62623735,,Shang TCM (Boon Lay) Pte Ltd,4.9,441,https://maps.google.com/?cid=10530638089915802366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3465421,103.7123464,matched,low,0.87,640221,640221,"221 Boon Lay Pl, #02-120, Singapore 640221",postal code matches; clinic name partially matches; address partially matches
SHANG TCM (WATERLOO),TCM,4.5+,BLK 261 WATERLOO STREET #01-40 SINGAPORE 180261,63333270,,Shang TCM (Waterloo) Pte Ltd,4.9,311,https://maps.google.com/?cid=7864096441326692895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2989163,103.8519697,matched,low,0.909,180261,180261,"261 Waterloo St, unit 01-40, Singapore 180261",postal code matches; clinic name partially matches; address closely matches
KIN TECK TONG PREMIER PTE LTD,TCM,4.5+,23 SERANGOON CENTRAL #04-47 NEX SINGAPORE 556083,6894 0447,,Kin Teck Tong TCM Clinic (NEX),4.5,195,https://maps.google.com/?cid=9367840842087229148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3503414999999999,103.8726707,address_only,medium,0.657,556083,556083,"NEX #04-47, 23 Serangoon Central, Singapore 556083",postal code matches; clinic name differs; address closely matches
EU YAN SANG TCM CLINIC @ WOODLANDS SQUARE,TCM,4.5+,6 WOODLANDS SQUARE #B2-18 WOODS SQUARE SINGAPORE 737737,63656518,,Eu Yan Sang TCM Clinic @ Woods Square,4.5,49,https://maps.google.com/?cid=12205226672645889564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.4360837,103.7860264,matched,low,0.958,737737,737737,"6 Woodlands Sq, #B2-18 Woods Square, Singapore 737737",postal code matches; clinic name closely matches; address closely matches
KIN TECK TONG (BEDOK MALL),TCM,4.5+,311 NEW UPPER CHANGI ROAD #01-45/46 BEDOK MALL SINGAPORE 467360,6436 3620,,Kin Teck Tong TCM Clinic (Bedok Mall),4.6,103,https://maps.google.com/?cid=5275874892024012979&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3245361999999998,103.92888579999999,matched,low,0.834,467360,467360,"Bedok Mall, New Upper Changi Rd, #01-45/46, Singapore 467360",postal code matches; clinic name partially matches; address closely matches
