clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
EU YAN SANG TCM CLINIC @ TAMPINES,TCM,4.0-4.4,2 TAMPINES CENTRAL 5 #03-15 CENTURY SQUARE MALL SINGAPORE 529509,67836911,,Eu Yan Sang TCM Clinic @ Tampines - Tampines Century Square,4.2,38,https://maps.google.com/?cid=6103371072138071228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3524251,103.94379649999999,matched,low,0.867,529509,529509,"2 Tampines Central 5, #03-15 Century Square, Singapore 529509",postal code matches; clinic name partially matches; address closely matches
EU YAN SANG TCM CLINIC @ TIONG BAHRU,TCM,4.0-4.4,302 TIONG BAHRU ROAD #02-142 TIONG BAHRU PLAZA SINGAPORE 168732,62786348,,Eu Yan Sang TCM Clinic @ Tiong Bahru Plaza,4.3,75,https://maps.google.com/?cid=18287483200802642640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2864981,103.82815839999999,matched,low,0.996,168732,168732,"302 Tiong Bahru Rd, #02-142 Tiong Bahru Plaza, Singapore 168732",postal code matches; clinic name closely matches; address closely matches
EU YAN SANG TCM CLINIC @ CLEMENTI,TCM,4.0-4.4,3155 COMMONWEALTH AVENUE WEST CLEMENTI MALL #04- 27 SINGAPORE 129588,6744 5178,,Eu Yan Sang TCM Clinic @ The Clementi Mall,4.4,52,https://maps.google.com/?cid=11615145293770134356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3148453999999998,103.7640273,matched,low,0.886,129588,129588,"3155 Commonwealth Ave W, #04-27 The Clementi Mall, Singapore 129588",postal code matches; clinic name closely matches; address closely matches
KIN TECK TONG (SINGPOST BRANCH),TCM,4.0-4.4,10 EUNOS ROAD 8 #02-128 SINGPOST CENTRE SINGAPORE 408600,67444940,,Kin Teck Tong TCM Clinic (SingPost Centre),4.3,113,https://maps.google.com/?cid=6321510132640077368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3189418,103.8944605,matched,low,0.807,408600,408600,"10 Eunos Rd 8, #02-128 SingPost Centre, Singapore 408600",postal code matches; clinic name partially matches; address closely matches
KIN TECK TONG (SPORTSHUB BRANCH),TCM,4.0-4.4,1 STADIUM PLACE #02-06 KALLANG WAVE MALL SINGAPORE 397628,67021380,,Kin Teck Tong TCM Clinic (Sports Hub),4.3,111,https://maps.google.com/?cid=418626898872154103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3029131,103.8728744,matched,low,0.812,397628,397628,"1 Stadium Pl, #02-06 Kallang Wave Mall, Singapore 397628",postal code matches; clinic name partially matches; address closely matches
KIN TECK TONG (CHINATOWN POINT BRANCH),TCM,4.0-4.4,133 NEW BRIDGE ROAD #B2-30/31 CHINATOWN POINT SINGAPORE 059413,65389798,,Kin Teck Tong TCM Clinic (Chinatown Point),4.4,188,https://maps.google.com/?cid=11994382699504783590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2852093,103.84472280000001,name_match_address_partial,medium,0.746,059413,059413,"Chinatown Point, New Bridge Rd, B2-30/31 133, Singapore 059413",postal code matches; clinic name partially matches; address differs
KIN TECK TONG (TAMPINES),TCM,4.0-4.4,2 TAMPINES CENTRAL 5 #03-06 CENTURY SQUARE SINGAPORE 529509,62601470,,Kin Teck Tong TCM Clinic (Century Square),4.3,99,https://maps.google.com/?cid=7024634722352350365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3522863999999999,103.94372349999999,name_match_address_partial,medium,0.703,529509,529509,"Century Square, #03-06, 2 Tampines Central 5, Singapore 529509",postal code matches; clinic name partially matches; address partially matches
EU YAN SANG TCM CLINIC @ BEDOK,TCM,4.0-4.4,BLK 208 NEW UPPER CHANGI ROAD #01-687 SINGAPORE 460208,62422205,,Eu Yan Sang TCM Clinic @ Bedok,4,10,https://maps.google.com/?cid=4689878886734046&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3257499,103.9308837,matched,low,1.0,460208,460208,"208 New Upper Changi Rd, #01-687 Bedok Town Centre, Singapore 460208",postal code matches; clinic name closely matches; address closely matches
EU YAN SANG TCM WELLNESS CLINIC @ CHINATOWN POINT,TCM,4.0-4.4,133 NEW BRIDGE ROAD #03-18 CHINATOWN POINT SINGAPORE 059413,66947193,,Eu Yan Sang TCM Clinic @ Chinatown Point,4.1,34,https://maps.google.com/?cid=13915634214612792050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2852093,103.84472280000001,matched,low,0.93,059413,059413,"133 New Bridge Rd, #03-18 Chinatown Point, Singapore 059413",postal code matches; clinic name closely matches; address closely matches
ANN YU LI TCM CLINIC,TCM,4.0-4.4,374 BUKIT BATOK ST 31 #01-164 SINGAPORE 650374,65659928,,Ann Yu Li Medical Hall (Bukit Gombak Main Branch),4,15,https://maps.google.com/?cid=9933548246789027079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3585213999999999,103.7503546,address_only,medium,0.666,650374,650374,"374 Bukit Batok Street 31, #01-164, Singapore 650374",postal code matches; clinic name differs; address closely matches
